year,PdDistrict,Category,Descript,incident_count
2003,BAYVIEW,DRUG/NARCOTIC,"SALE OF HEROIN",2
2003,BAYVIEW,DRUG/NARCOTIC,"SALE OF MARIJUANA",9
2003,BAYVIEW,DRUG/NARCOTIC,"SALE OF METH-AMPHETAMINE",1
2003,BAYVIEW,DRUG/NARCOTIC,"TRANSPORTAION OF CONTROLLED SUBSTANCE",1
2003,BAYVIEW,DRUG/NARCOTIC,"TRANSPORTATION OF COCAINE",4
2003,BAYVIEW,DRUG/NARCOTIC,"TRANSPORTATION OF MARIJUANA",4
2003,BAYVIEW,DRUG/NARCOTIC,"TRANSPORTATION OF METH-AMPHETAMINE",2
2003,BAYVIEW,DRUG/NARCOTIC,"UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE",1
2003,BAYVIEW,DRUG/NARCOTIC,"UNDER THE INFLUENCE OF CONTROLLED SUBSTANCES",1
2003,BAYVIEW,DRUG/NARCOTIC,"VISITING WHERE DRUGS ARE USED OR SMOKED",1
2003,BAYVIEW,DRUNKENNESS,"UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE",32
2003,BAYVIEW,EMBEZZLEMENT,"EMBEZZLED VEHICLE",5
2003,BAYVIEW,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT",6
2003,BAYVIEW,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE",12
2003,BAYVIEW,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT PRIVATE PROPERTY",1
2003,BAYVIEW,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT",1
2003,BAYVIEW,EXTORTION,EXTORTION,1
2003,BAYVIEW,"FAMILY OFFENSES","ABANDONMENT OF CHILD",10
2003,BAYVIEW,"FAMILY OFFENSES","DESERTION OF CHILD",6
2003,BAYVIEW,"FAMILY OFFENSES","FAILURE TO PROVIDE FOR CHILD",4
2003,BAYVIEW,"FAMILY OFFENSES","MINOR WITHOUT PROPER PARENTAL CARE",2
2003,BAYVIEW,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",45
2003,BAYVIEW,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (MISDEMEANOR)",1
2003,BAYVIEW,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",24
2003,BAYVIEW,FORGERY/COUNTERFEITING,"CHECKS, POSSESSION WITH INTENT TO PASS",9
2003,BAYVIEW,FORGERY/COUNTERFEITING,"COUNTERFEITING, COINS OR NOTES",8
2003,BAYVIEW,FORGERY/COUNTERFEITING,"COUNTERFEITING, POSSESSION COINS OR NOTES",4
2003,BAYVIEW,FORGERY/COUNTERFEITING,"FORGERY, DRIVERS LICENSE OR ID-CARD",23
2003,BAYVIEW,FORGERY/COUNTERFEITING,"FORGERY, FALSE ENTRIES IN RECORDS OR RETURNS",7
2003,BAYVIEW,FORGERY/COUNTERFEITING,"FORGERY, NOTES",9
2003,BAYVIEW,FORGERY/COUNTERFEITING,"MONEY, CHANGING FACE AMOUNT",5
2003,BAYVIEW,FRAUD,"CREDIT CARD, INCOMPLETE OR COUNTERFEIT",1
2003,BAYVIEW,FRAUD,"CREDIT CARD, THEFT BY USE OF",82
2003,BAYVIEW,FRAUD,"CREDIT CARD, THEFT OF",9
2003,BAYVIEW,FRAUD,"DEFRAUDING AN INNKEEPER",2
2003,BAYVIEW,FRAUD,"DEFRAUDING OF VEHICLE REPAIRMAN",1
2003,BAYVIEW,FRAUD,"FALSE ID TO PEACE OFFICER",27
2003,BAYVIEW,FRAUD,"FALSE PRETENSES, GRAND THEFT",7
2003,BAYVIEW,FRAUD,"FALSE PRETENSES, PETTY THEFT",7
2003,BAYVIEW,FRAUD,"FORGERY, CREDIT CARD",8
2003,BAYVIEW,FRAUD,"FRAUDULENT AUCTION",3
2003,BAYVIEW,FRAUD,"FRAUDULENT CREDIT APPLICATION",25
2003,BAYVIEW,FRAUD,"FRAUDULENT USE OF AUTOMATED TELLER CARD",3
2003,BAYVIEW,FRAUD,"PUTTING SLUGS IN COIN OPERATED MACHINES",1
2003,BAYVIEW,FRAUD,"TRICK AND DEVICE, GRAND THEFT",3
2003,BAYVIEW,FRAUD,"TRICK AND DEVICE, PETTY THEFT",3
2003,BAYVIEW,GAMBLING,GAMBLING,3
2003,BAYVIEW,KIDNAPPING,"ATTEMPTED KIDNAPPING, ADULT VICTIM",1
2003,BAYVIEW,KIDNAPPING,"ATTEMPTED KIDNAPPING, JUVENILE VICTIM",3
2003,BAYVIEW,KIDNAPPING,"CHILD STEALING",6
2003,BAYVIEW,KIDNAPPING,"FALSE IMPRISONMENT",17
2003,BAYVIEW,KIDNAPPING,"KIDNAPPING, ADULT VICTIM",15
2003,BAYVIEW,KIDNAPPING,"KIDNAPPING, JUVENILE VICTIM",5
2003,BAYVIEW,LARCENY/THEFT,"ATTEMPTED AUTO STRIP",2
2003,BAYVIEW,LARCENY/THEFT,"ATTEMPTED PETTY THEFT OF PROPERTY",3
2003,BAYVIEW,LARCENY/THEFT,"ATTEMPTED SHOPLIFTING",5
2003,BAYVIEW,LARCENY/THEFT,"ATTEMPTED THEFT COIN OPERATED MACHINE",2
2003,BAYVIEW,LARCENY/THEFT,"ATTEMPTED THEFT FROM A BUILDING",4
2003,BAYVIEW,LARCENY/THEFT,"ATTEMPTED THEFT FROM LOCKED VEHICLE",57
2003,BAYVIEW,LARCENY/THEFT,"ATTEMPTED THEFT FROM UNLOCKED VEHICLE",4
2003,BAYVIEW,LARCENY/THEFT,"GRAND THEFT AUTO STRIP",22
2003,BAYVIEW,LARCENY/THEFT,"GRAND THEFT BICYCLE",13
2003,BAYVIEW,LARCENY/THEFT,"GRAND THEFT FROM A BUILDING",122
2003,BAYVIEW,LARCENY/THEFT,"GRAND THEFT FROM LOCKED AUTO",508
2003,BAYVIEW,LARCENY/THEFT,"GRAND THEFT FROM PERSON",48
2003,BAYVIEW,LARCENY/THEFT,"GRAND THEFT FROM UNLOCKED AUTO",24
2003,BAYVIEW,LARCENY/THEFT,"GRAND THEFT OF PROPERTY",53
2003,BAYVIEW,LARCENY/THEFT,"GRAND THEFT PICKPOCKET",20
2003,BAYVIEW,LARCENY/THEFT,"GRAND THEFT PURSESNATCH",15
2003,BAYVIEW,LARCENY/THEFT,"GRAND THEFT SHOPLIFTING",9
2003,BAYVIEW,LARCENY/THEFT,"LOST PROPERTY, GRAND THEFT",6
2003,BAYVIEW,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",36
2003,BAYVIEW,LARCENY/THEFT,"PETTY THEFT AUTO STRIP",13
2003,BAYVIEW,LARCENY/THEFT,"PETTY THEFT BICYCLE",11
2003,BAYVIEW,LARCENY/THEFT,"PETTY THEFT COIN OPERATED MACHINE",2
2003,BAYVIEW,LARCENY/THEFT,"PETTY THEFT FROM A BUILDING",101
2003,BAYVIEW,LARCENY/THEFT,"PETTY THEFT FROM LOCKED AUTO",403
2003,BAYVIEW,LARCENY/THEFT,"PETTY THEFT FROM UNLOCKED AUTO",73
2003,BAYVIEW,LARCENY/THEFT,"PETTY THEFT OF PROPERTY",91
2003,BAYVIEW,LARCENY/THEFT,"PETTY THEFT PHONE BOOTH",1
2003,BAYVIEW,LARCENY/THEFT,"PETTY THEFT SHOPLIFTING",64
2003,BAYVIEW,LARCENY/THEFT,"PETTY THEFT WITH PRIOR",17
2003,BAYVIEW,"LIQUOR LAWS","CONSUMING ALCOHOL IN PUBLIC VIEW",15
2003,BAYVIEW,"LIQUOR LAWS","MISCELLANEOUS LIQOUR LAW VIOLATION",7
2003,BAYVIEW,"LIQUOR LAWS","POSSESSION OF ALCOHOL BY MINOR",2
2003,BAYVIEW,"LIQUOR LAWS","SALE OF ALCOHOL BY MINOR",1
2003,BAYVIEW,LOITERING,"INCITING TO RIOT",3
2003,BAYVIEW,LOITERING,LOITERING,4
2003,BAYVIEW,LOITERING,"LOITERING ABOUT SCHOOL/PLAYGROUND",1
2003,BAYVIEW,LOITERING,"OBSTRUCTING PUBLIC THOROUGHFARE",1
2003,BAYVIEW,LOITERING,"UNLAWFUL ASSEMBLY",1
2003,BAYVIEW,"MISSING PERSON","FOUND PERSON",134
2003,BAYVIEW,"MISSING PERSON","MISSING ADULT",98
2003,BAYVIEW,"MISSING PERSON","MISSING JUVENILE",366
2003,BAYVIEW,NON-CRIMINAL,"ACCIDENTAL SHOOTING",1
2003,BAYVIEW,NON-CRIMINAL,"AIDED CASE",63
2003,BAYVIEW,NON-CRIMINAL,"AIDED CASE, DOG BITE",30
2003,BAYVIEW,NON-CRIMINAL,"AIDED CASE, INJURED PERSON",11
2003,BAYVIEW,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",159
2003,BAYVIEW,NON-CRIMINAL,"AIDED CASE, SICK PERSON",1
2003,BAYVIEW,NON-CRIMINAL,"COURTESY REPORT",10
2003,BAYVIEW,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",28
2003,BAYVIEW,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",27
2003,BAYVIEW,NON-CRIMINAL,"FIRE REPORT",22
2003,BAYVIEW,NON-CRIMINAL,"FOUND PROPERTY",94
2003,BAYVIEW,NON-CRIMINAL,"IMPOUNDED VEHICLE",12
2003,BAYVIEW,NON-CRIMINAL,"LOCATED PROPERTY",23
2003,BAYVIEW,NON-CRIMINAL,"LOST PROPERTY",470
2003,BAYVIEW,NON-CRIMINAL,"MISPLACED VEHICLE",1
2003,BAYVIEW,NON-CRIMINAL,"PROPERTY FOR IDENTIFICATION",15
2003,BAYVIEW,NON-CRIMINAL,SHELTER,14
2003,BAYVIEW,NON-CRIMINAL,"TARASOFF REPORT",8
2003,BAYVIEW,NON-CRIMINAL,"TRAFFIC ACCIDENT",15
2003,BAYVIEW,NON-CRIMINAL,"TURNED IN GUN",10
2003,BAYVIEW,NON-CRIMINAL,"YOUTH COURT",2
2003,BAYVIEW,"OTHER OFFENSES",ABORTION,1
2003,BAYVIEW,"OTHER OFFENSES","AID OR HARBOR FELON",2
2003,BAYVIEW,"OTHER OFFENSES","BEYOND PARENTAL CONTROL",9
2003,BAYVIEW,"OTHER OFFENSES",CONSPIRACY,36
2003,BAYVIEW,"OTHER OFFENSES","CONTRIBUTING TO THE DELINQUENCY OF MINOR",4
2003,BAYVIEW,"OTHER OFFENSES","CRUELTY TO ANIMALS",1
2003,BAYVIEW,"OTHER OFFENSES","CURFEW VIOLATION",1
2003,BAYVIEW,"OTHER OFFENSES","DANGER OF LEADING IMMORAL LIFE",12
2003,BAYVIEW,"OTHER OFFENSES","DEFRAUDING TAXI DRIVER",4
2003,BAYVIEW,"OTHER OFFENSES","DISRUPTS SCHOOL ACTIVITIES",2
2003,BAYVIEW,"OTHER OFFENSES","DRIVERS LICENSE, SUSPENDED OR REVOKED",949
2003,BAYVIEW,"OTHER OFFENSES","DUMPING OF OFFENSIVE MATTER",1
2003,BAYVIEW,"OTHER OFFENSES","FAILURE TO HEED RED LIGHT AND SIREN",3
2003,BAYVIEW,"OTHER OFFENSES","FAILURE TO REGISTER AS SEX OFFENDER",7
2003,BAYVIEW,"OTHER OFFENSES","FALSE EVIDENCE OF VEHICLE REGISTRATION",44
2003,BAYVIEW,"OTHER OFFENSES","FALSE REPORT OF BOMB",5
2003,BAYVIEW,"OTHER OFFENSES","FALSE REPORT OF CRIME",3
2003,BAYVIEW,"OTHER OFFENSES","HARASSING PHONE CALLS",32
2003,BAYVIEW,"OTHER OFFENSES","INDECENT EXPOSURE",10
2003,BAYVIEW,"OTHER OFFENSES","INJURY TO TELEGRAPH/TELEPHONE LINES",12
2003,BAYVIEW,"OTHER OFFENSES","INTOXICATED JUVENILE",1
2003,BAYVIEW,"OTHER OFFENSES","JUVENILE PAROLE VIOLATOR",1
2003,BAYVIEW,"OTHER OFFENSES","LOST/STOLEN LICENSE PLATE",197
2003,BAYVIEW,"OTHER OFFENSES","MISCELLANEOUS INVESTIGATION",139
2003,BAYVIEW,"OTHER OFFENSES","MISCELLANEOUS STATE FELONY",7
2003,BAYVIEW,"OTHER OFFENSES","MISCELLANEOUS STATE MISDEMEANOR",84
2003,BAYVIEW,"OTHER OFFENSES","OBSCENE PHONE CALLS(S)",70
2003,BAYVIEW,"OTHER OFFENSES","OBSTRUCTIONS ON STREETS/SIDEWALKS",3
2003,BAYVIEW,"OTHER OFFENSES","OPEN CONTAINER OF ALCOHOL IN VEHICLE",8
2003,BAYVIEW,"OTHER OFFENSES","OVERCHARGING TAXI FARE",1
2003,BAYVIEW,"OTHER OFFENSES","PAROLE VIOLATION",97
2003,BAYVIEW,"OTHER OFFENSES","PEDDLING WITHOUT A LICENSE",37
2003,BAYVIEW,"OTHER OFFENSES","POSSESSION OF ARTICLES WITH IDENTIFICATION REMOVE",9
2003,BAYVIEW,"OTHER OFFENSES","POSSESSION OF BURGLARY TOOLS",11
2003,BAYVIEW,"OTHER OFFENSES","POSSESSION OF FIRECRACKERS",1
2003,BAYVIEW,"OTHER OFFENSES","PROBATION VIOLATION",85
2003,BAYVIEW,"OTHER OFFENSES","RECKLESS DRIVING",25
2003,BAYVIEW,"OTHER OFFENSES","RESISTING ARREST",197
2003,BAYVIEW,"OTHER OFFENSES",SPEEDING,5
2003,BAYVIEW,"OTHER OFFENSES","THROWING SUBSTANCE AT VEHICLE",6
2003,BAYVIEW,"OTHER OFFENSES","TRAFFIC VIOLATION",525
2003,BAYVIEW,"OTHER OFFENSES","TRAFFIC VIOLATION ARREST",52
2003,BAYVIEW,"OTHER OFFENSES","UNKNOWN COMPLAINT",4
2003,BAYVIEW,"OTHER OFFENSES","VIOLATION OF FIRE CODE",1
2003,BAYVIEW,"OTHER OFFENSES","VIOLATION OF MUNICIPAL CODE",13
2003,BAYVIEW,"OTHER OFFENSES","VIOLATION OF MUNICIPAL POLICE CODE",23
2003,BAYVIEW,"OTHER OFFENSES","VIOLATION OF PARK CODE",3
2003,BAYVIEW,"OTHER OFFENSES","VIOLATION OF RESTRAINING ORDER",188
2003,BAYVIEW,PROSTITUTION,"ENGAGING IN LEWD CONDUCT - PROSTITUTION RELATED",1
2003,BAYVIEW,PROSTITUTION,"HUMAN TRAFFICKING",1
2003,BAYVIEW,PROSTITUTION,"INDECENT EXPOSURE - PROSTITUTION RELATED",1
2003,BAYVIEW,PROSTITUTION,PANDERING,2
2003,BAYVIEW,PROSTITUTION,PIMPING,2
2003,BAYVIEW,PROSTITUTION,"SOLICITS FOR ACT OF PROSTITUTION",2
2003,BAYVIEW,PROSTITUTION,"SOLICITS TO VISIT HOUSE OF PROSTITUTION",2
2003,BAYVIEW,ROBBERY,"ATTEMPTED ROBBERY COMM. ESTAB. WITH BODILY FORCE",1
2003,BAYVIEW,ROBBERY,"ATTEMPTED ROBBERY COMM. ESTAB. WITH DEADLY WEAPON",1
2003,BAYVIEW,ROBBERY,"ATTEMPTED ROBBERY COMM. ESTABLISHMENT W/KNIFE",1
2003,BAYVIEW,ROBBERY,"ATTEMPTED ROBBERY COMM. ESTABLISHMENT WITH A GUN",3
2003,BAYVIEW,ROBBERY,"ATTEMPTED ROBBERY ON THE STREET W/DEADLY WEAPON",1
2003,BAYVIEW,ROBBERY,"ATTEMPTED ROBBERY ON THE STREET WITH A GUN",10
2003,BAYVIEW,ROBBERY,"ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE",18
2003,BAYVIEW,ROBBERY,"ATTEMPTED ROBBERY RESIDENCE WITH BODILY FORCE",1
2003,BAYVIEW,ROBBERY,"ATTEMPTED ROBBERY SERVICE STATION WITH A KNIFE",1
2003,BAYVIEW,ROBBERY,"ATTEMPTED ROBBERY WITH A DEADLY WEAPON",2
2003,BAYVIEW,ROBBERY,"ATTEMPTED ROBBERY WITH A GUN",8
2003,BAYVIEW,ROBBERY,"ATTEMPTED ROBBERY WITH A KNIFE",2
2003,BAYVIEW,ROBBERY,"ATTEMPTED ROBBERY WITH BODILY FORCE",14
2003,BAYVIEW,ROBBERY,"CARJACKING WITH A DANGEROUS WEAPON",1
2003,BAYVIEW,ROBBERY,"CARJACKING WITH A GUN",10
2003,BAYVIEW,ROBBERY,"CARJACKING WITH BODILY FORCE",5
2003,BAYVIEW,ROBBERY,"ROBBERY OF A BANK WITH A GUN",1
2003,BAYVIEW,ROBBERY,"ROBBERY OF A BANK WITH BODILY FORCE",1
2003,BAYVIEW,ROBBERY,"ROBBERY OF A CHAIN STORE WITH BODILY FORCE",3
2003,BAYVIEW,ROBBERY,"ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ WEAPON",1
2003,BAYVIEW,ROBBERY,"ROBBERY OF A COMMERCIAL ESTABLISHMENT WITH A GUN",8
2003,BAYVIEW,ROBBERY,"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM",4
2003,BAYVIEW,ROBBERY,"ROBBERY OF A RESIDENCE WITH A DANGEROUS WEAPON",1
2003,BAYVIEW,ROBBERY,"ROBBERY OF A RESIDENCE WITH A GUN",7
2003,BAYVIEW,ROBBERY,"ROBBERY OF A RESIDENCE WITH BODILY FORCE",7
2003,BAYVIEW,ROBBERY,"ROBBERY OF A SERVICE STATION W/DANGEROUS WEAPON",1
2003,BAYVIEW,ROBBERY,"ROBBERY OF A SERVICE STATION WITH A GUN",11
2003,BAYVIEW,ROBBERY,"ROBBERY ON THE STREET WITH A DANGEROUS WEAPON",7
2003,BAYVIEW,ROBBERY,"ROBBERY ON THE STREET WITH A GUN",24
2003,BAYVIEW,ROBBERY,"ROBBERY ON THE STREET WITH A KNIFE",9
2003,BAYVIEW,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",88
2003,BAYVIEW,ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",6
2003,BAYVIEW,ROBBERY,"ROBBERY, ARMED WITH A GUN",27
2003,BAYVIEW,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",8
2003,BAYVIEW,ROBBERY,"ROBBERY, BODILY FORCE",71
